Market,Year,Month,Listing Rate,Total Vacancy Rate
New Jersey,2023,10,34.6,17.5
Twin Cities,2023,10,26.71,17.2
Atlanta,2023,10,31.2,17.0
Philadelphia,2023,10,31.77,13.8
Houston,2023,10,30.69,25.0
Denver,2023,10,30.7,21.9
Chicago,2023,10,27.84,17.2
Seattle,2023,10,37.55,21.8
Phoenix,2023,10,27.68,17.8
Detroit,2023,10,21.5,27.8
Austin,2023,10,41.88,20.5
Orlando,2023,10,23.65,16.5
Tampa,2023,10,28.27,14.2
Washington DC,2023,10,40.65,15.7
Los Angeles,2023,10,41.84,16.0
Nashville,2023,10,30.29,16.1
Bay Area,2023,10,54.01,18.9
San Diego,2023,10,42.47,18.2
Dallas,2023,10,27.57,19.5
Manhattan,2023,10,70.71,17.4
San Francisco,2023,10,63.08,22.6
Charlotte,2023,10,31.8,15.7
Portland,2023,10,27.62,16.4
Miami,2023,10,44.83,14.5
National,2024,3,37.74,18.2
Manhattan,2024,3,71.3,17.6
San Francisco,2024,3,60.81,24.2
Bay Area,2024,3,52.7,20.8
Miami,2024,3,49.05,13.3
Los Angeles,2024,3,41.19,16.4
Seattle,2024,3,37.71,22.6
Dallas,2024,3,29.08,21.6
Austin,2024,3,42.79,22.0
Washington DC,2024,3,40.72,16.5
Boston,2024,3,49.5,12.8
Chicago,2024,3,28.68,19.0
Denver,2024,3,30.24,22.7
San Diego,2024,3,42.76,18.2
Tampa,2024,3,28.62,12.7
Houston,2024,3,29.54,23.5
Atlanta,2024,3,31.54,17.0
Phoenix,2024,3,27.6,18.0
New Jersey,2024,3,34.79,18.1
Philadelphia,2024,3,31.85,15.7
Charlotte,2024,3,31.3,14.5
Nashville,2024,3,30.21,15.5
Portland,2024,3,27.84,16.8
Orlando,2024,3,24.44,17.0
Twin Cities,2024,3,25.8,17.9
Detroit,2024,3,22.36,32.1
National,2024,5,37.72,17.8
Boston,2024,5,46.71,12.1
Dallas,2024,5,28.99,21.6
Miami,2024,5,49.08,12.3
Atlanta,2024,5,31.84,18.5
Detroit,2024,5,22.43,20.8
Tampa,2024,5,29.62,13.1
Chicago,2024,5,27.73,19.1
Austin,2024,5,42.48,23.3
Phoenix,2024,5,27.7,18.2
Philadelphia,2024,5,31.24,15.3
Orlando,2024,5,24.53,15.7
New Jersey,2024,5,34.8,17.3
Nashville,2024,5,30.3,15.0
Bay Area,2024,5,53.7,20.0
Washington DC,2024,5,39.8,16.0
Denver,2024,5,30.05,23.0
Charlotte,2024,5,30.04,14.7
Manhattan,2024,5,71.3,16.2
Houston,2024,5,29.56,22.5
Los Angeles,2024,5,40.87,16.7
Portland,2024,5,27.5,16.5
Seattle,2024,5,36.78,23.0
San Francisco,2024,5,60.79,25.2
Twin Cities,2024,5,24.91,16.2
San Diego,2024,5,42.54,18.5
National,2022,10,37.94,16.3
Charlotte,2022,10,34.09,12.5
San Diego,2022,10,43.91,14.5
Boston,2022,10,40.2,8.9
Miami,2022,10,48.71,12.7
Orlando,2022,10,23.67,16.8
San Francisco,2022,10,66.75,19.5
Seattle,2022,10,37.18,17.9
Philadelphia,2022,10,30.76,14.2
Atlanta,2022,10,30.05,21.1
Los Angeles,2022,10,42.7,14.6
Phoenix,2022,10,27.44,15.3
Washington DC,2022,10,41.4,14.3
New Jersey,2022,10,33.15,17.4
Nashville,2022,10,30.93,18.7
Bay Area,2022,10,55.64,16.0
Chicago,2022,10,27.55,19.7
Houston,2022,10,29.76,25.2
Denver,2022,10,30.02,18.5
Dallas,2022,10,28.62,18.5
Portland,2022,10,29.94,17.5
Manhattan,2022,10,74.75,14.6
Twin Cities,2022,10,25.62,13.2
Tampa,2022,10,28.39,17.2
Austin,2022,10,41.76,18.2
Brooklyn,2022,10,44.1,19.4
National,2019,8,36.48,13.4
San Francisco,2019,8,72.48,8.0
Tampa,2019,8,29.65,11.2
Nashville,2019,8,32.76,11.0
Austin,2019,8,42.48,8.7
Brooklyn,2019,8,58.03,8.2
Bay Area,2019,8,46.62,14.7
Miami,2019,8,38.75,13.6
Dallas,2019,8,28.44,18.5
Philadelphia,2019,8,29.08,12.8
Phoenix,2019,8,27.27,16.6
Houston,2019,8,29.53,21.6
San Diego,2019,8,38.07,12.2
Los Angeles,2019,8,37.73,12.6
Twin Cities,2019,8,26.84,12.6
Atlanta,2019,8,26.24,16.4
Charlotte,2019,8,27.99,10.5
Manhattan,2019,8,75.67,7.7
Portland,2019,8,29.39,12.4
New Jersey,2019,8,31.28,20.7
Boston,2019,8,36.35,9.6
Denver,2019,8,27.85,13.5
Seattle,2019,8,36.68,8.5
Chicago,2019,8,28.93,15.2
Orlando,2019,8,21.13,11.6
Washington DC,2019,8,38.85,14.6
National,2021,1,38.32,14.6
San Diego,2021,1,41.21,13.9
Bay Area,2021,1,54.45,15.1
New Jersey,2021,1,32.65,17.9
Nashville,2021,1,30.57,17.1
Washington DC,2021,1,41.33,15.6
Miami,2021,1,42.6,15.3
Manhattan,2021,1,85.21,10.5
Los Angeles,2021,1,40.2,13.6
Philadelphia,2021,1,29.3,12.8
Austin,2021,1,42.34,12.1
Phoenix,2021,1,27.49,18.4
Charlotte,2021,1,28.92,12.5
Tampa,2021,1,29.24,12.8
Orlando,2021,1,21.6,14.9
Houston,2021,1,29.52,22.5
Dallas,2021,1,28.66,18.5
Portland,2021,1,29.6,13.8
Atlanta,2021,1,26.98,18.6
Denver,2021,1,28.64,14.3
Twin Cities,2021,1,26.66,16.5
Chicago,2021,1,27.99,15.8
Seattle,2021,1,35.53,11.8
Brooklyn,2021,1,50.48,15.0
Boston,2021,1,35.05,11.1
San Francisco,2021,1,64.46,11.8
National,2024,2,37.83,17.9
Boston,2024,2,45.62,12.2
Tampa,2024,2,30.8,13.3
Miami,2024,2,49.64,12.2
Detroit,2024,2,22.39,31.3
Atlanta,2024,2,31.54,17.1
New Jersey,2024,2,34.47,18.7
Denver,2024,2,30.58,22.1
Phoenix,2024,2,27.82,17.9
Philadelphia,2024,2,31.22,15.5
Washington DC,2024,2,40.29,16.1
Twin Cities,2024,2,25.84,16.6
Austin,2024,2,40.33,22.1
Seattle,2024,2,37.87,22.5
Chicago,2024,2,27.62,18.0
Los Angeles,2024,2,41.78,16.0
Orlando,2024,2,24.08,17.1
Houston,2024,2,29.46,24.4
Nashville,2024,2,30.19,16.5
Dallas,2024,2,27.62,21.1
Manhattan,2024,2,71.53,16.8
San Diego,2024,2,42.8,16.6
Bay Area,2024,2,54.12,20.8
Portland,2024,2,27.66,16.0
Charlotte,2024,2,30.78,14.0
San Francisco,2024,2,59.81,24.0
National,2019,5,36.33,13.7
Brooklyn,2019,5,54.3,9.7
Houston,2019,5,29.78,20.8
San Francisco,2019,5,69.43,8.1
Orlando,2019,5,22.22,11.8
Bay Area,2019,5,47.25,15.2
Charlotte,2019,5,28.03,10.5
Nashville,2019,5,29.22,9.9
Twin Cities,2019,5,26.55,11.9
San Diego,2019,5,37.31,12.5
Austin,2019,5,38.48,9.5
Tampa,2019,5,25.82,11.7
Manhattan,2019,5,75.04,8.4
Miami,2019,5,38.28,13.6
Denver,2019,5,27.93,13.7
New Jersey,2019,5,32.1,20.4
Washington DC,2019,5,39.37,14.6
Los Angeles,2019,5,38.19,13.4
Portland,2019,5,28.11,12.7
Chicago,2019,5,29.8,14.7
Phoenix,2019,5,26.96,17.2
Dallas,2019,5,27.9,18.7
Atlanta,2019,5,25.9,16.0
Philadelphia,2019,5,29.01,13.0
Boston,2019,5,37.63,9.9
Seattle,2019,5,36.54,8.5
National,2023,6,37.82,17.1
Boston,2023,6,48.28,10.6
San Diego,2023,6,46.83,15.5
Philadelphia,2023,6,30.92,12.9
New Jersey,2023,6,34.51,17.3
Twin Cities,2023,6,27.25,17.5
Orlando,2023,6,24.5,14.2
Atlanta,2023,6,30.68,19.4
Seattle,2023,6,38.68,20.1
Phoenix,2023,6,27.73,18.8
Washington DC,2023,6,40.57,14.6
Denver,2023,6,30.62,20.4
Los Angeles,2023,6,42.18,13.4
Chicago,2023,6,27.4,18.9
Nashville,2023,6,30.27,17.5
San Francisco,2023,6,63.61,21.1
Tampa,2023,6,27.92,14.8
Austin,2023,6,42.23,19.9
Houston,2023,6,30.39,23.4
Miami,2023,6,46.93,12.7
Manhattan,2023,6,70.56,17.2
Portland,2023,6,28.71,15.7
Bay Area,2023,6,53.62,18.2
Dallas,2023,6,27.16,17.5
Brooklyn,2023,6,44.47,12.8
Charlotte,2023,6,30.69,11.8
National,2022,3,38.65,15.9
Boston,2022,3,38.96,10.5
Miami,2022,3,47.38,12.8
Charlotte,2022,3,31.99,14.7
Atlanta,2022,3,29.3,21.7
Brooklyn,2022,3,53.04,17.0
Denver,2022,3,30.03,17.2
Orlando,2022,3,22.1,15.8
Los Angeles,2022,3,41.49,13.7
Houston,2022,3,30.33,24.9
Austin,2022,3,43.3,15.9
Dallas,2022,3,28.7,17.3
Bay Area,2022,3,56.89,15.1
Seattle,2022,3,35.71,14.9
Chicago,2022,3,27.34,20.3
Philadelphia,2022,3,29.25,13.3
San Diego,2022,3,40.4,13.6
Washington DC,2022,3,41.61,16.8
New Jersey,2022,3,32.51,17.6
Nashville,2022,3,30.52,18.8
Tampa,2022,3,27.7,16.0
Phoenix,2022,3,26.73,15.1
Twin Cities,2022,3,25.34,14.5
Portland,2022,3,27.99,12.3
San Francisco,2022,3,63.04,17.3
Manhattan,2022,3,74.2,14.4
National,2023,5,38.36,17.0
Brooklyn,2023,5,50.71,17.1
Charlotte,2023,5,29.09,12.1
Bay Area,2023,5,53.22,17.7
Dallas,2023,5,27.91,17.1
Miami,2023,5,42.55,11.8
Nashville,2023,5,30.76,18.5
Houston,2023,5,29.47,23.2
Austin,2023,5,42.4,20.7
Los Angeles,2023,5,39.09,14.2
Denver,2023,5,28.86,20.2
Tampa,2023,5,28.69,14.8
Chicago,2023,5,28.09,18.8
Washington DC,2023,5,40.86,15.3
Portland,2023,5,29.69,15.7
Atlanta,2023,5,27.11,19.4
Phoenix,2023,5,26.52,18.5
Manhattan,2023,5,85.94,17.0
Seattle,2023,5,36.54,19.5
San Francisco,2023,5,64.4,20.0
Twin Cities,2023,5,26.68,16.9
Orlando,2023,5,21.37,16.5
New Jersey,2023,5,31.82,16.9
Philadelphia,2023,5,29.07,13.3
Boston,2023,5,34.91,10.3
San Diego,2023,5,39.22,15.4
National,2018,12,33.41,14.0
San Francisco,2018,12,58.86,8.4
Bay Area,2018,12,42.89,15.2
San Diego,2018,12,37.4,12.4
Philadelphia,2018,12,28.47,11.9
Los Angeles,2018,12,37.66,13.9
Dallas,2018,12,27.53,19.6
Manhattan,2018,12,75.92,9.0
Tampa,2018,12,25.56,11.5
Phoenix,2018,12,26.58,17.3
Nashville,2018,12,28.36,11.2
Houston,2018,12,28.57,22.4
Atlanta,2018,12,25.69,15.8
Boston,2018,12,37.11,10.1
Denver,2018,12,28.32,14.7
Seattle,2018,12,36.18,9.5
Miami,2018,12,37.96,13.5
Twin Cities,2018,12,26.14,11.9
New Jersey,2018,12,32.52,20.8
Orlando,2018,12,21.9,11.7
Chicago,2018,12,29.58,15.9
Austin,2018,12,35.99,10.1
Brooklyn,2018,12,47.94,8.7
Charlotte,2018,12,26.92,11.3
Portland,2018,12,28.39,12.7
Washington DC,2018,12,38.87,14.7
National,2021,2,38.31,15.0
Nashville,2021,2,31.06,17.1
Washington DC,2021,2,41.87,15.7
Bay Area,2021,2,54.33,16.2
New Jersey,2021,2,32.86,17.9
Miami,2021,2,42.6,15.8
Los Angeles,2021,2,40.22,13.8
Charlotte,2021,2,29.06,12.9
Atlanta,2021,2,27.54,18.8
San Diego,2021,2,39.44,13.9
Phoenix,2021,2,27.46,18.3
Manhattan,2021,2,85.17,10.5
Tampa,2021,2,28.38,14.2
Orlando,2021,2,21.47,15.4
Philadelphia,2021,2,29.2,12.7
Houston,2021,2,29.47,23.5
Austin,2021,2,42.43,15.1
Denver,2021,2,28.77,14.7
Portland,2021,2,29.71,13.9
Dallas,2021,2,28.06,19.0
Twin Cities,2021,2,26.5,16.5
Chicago,2021,2,28.04,16.6
Seattle,2021,2,35.34,13.0
Brooklyn,2021,2,50.48,14.8
Boston,2021,2,34.64,11.4
San Francisco,2021,2,64.3,12.8
National,2020,2,38.25,13.4
Manhattan,2020,2,86.11,7.7
Austin,2020,2,42.72,7.9
Miami,2020,2,41.58,13.1
Brooklyn,2020,2,55.94,13.6
Bay Area,2020,2,50.86,13.3
Tampa,2020,2,29.26,11.7
San Diego,2020,2,39.09,11.4
San Francisco,2020,2,71.84,7.3
Atlanta,2020,2,27.52,15.9
Denver,2020,2,28.9,13.1
Houston,2020,2,29.95,21.3
Los Angeles,2020,2,39.59,12.0
Twin Cities,2020,2,26.95,12.0
Portland,2020,2,30.01,12.2
Charlotte,2020,2,28.25,10.5
Orlando,2020,2,21.72,11.6
Phoenix,2020,2,27.13,18.4
Washington DC,2020,2,39.18,13.9
Seattle,2020,2,38.56,8.2
New Jersey,2020,2,31.43,22.1
Dallas,2020,2,27.7,17.5
Philadelphia,2020,2,28.88,13.1
Nashville,2020,2,30.08,12.7
Chicago,2020,2,28.79,14.3
Boston,2020,2,36.55,9.9
National,2022,5,37.56,15.4
Charlotte,2022,5,33.08,14.7
Boston,2022,5,39.02,9.7
Miami,2022,5,47.08,13.1
Atlanta,2022,5,29.5,20.0
Phoenix,2022,5,28.49,13.9
Orlando,2022,5,23.11,15.1
San Diego,2022,5,40.78,12.5
Houston,2022,5,31.14,24.6
New Jersey,2022,5,33.21,18.0
Brooklyn,2022,5,49.74,17.3
Austin,2022,5,44.52,15.6
Dallas,2022,5,29.17,18.0
Bay Area,2022,5,56.52,15.3
Denver,2022,5,30.31,17.3
Seattle,2022,5,36.35,15.6
Los Angeles,2022,5,41.66,13.0
Chicago,2022,5,27.33,19.5
Nashville,2022,5,30.63,18.0
Philadelphia,2022,5,28.68,12.6
Twin Cities,2022,5,25.56,13.4
Tampa,2022,5,27.8,14.6
Washington DC,2022,5,39.94,14.8
Portland,2022,5,27.61,11.9
San Francisco,2022,5,62.57,17.2
Manhattan,2022,5,72.93,14.1
National,2023,3,38.22,16.7
San Diego,2023,3,47.98,14.4
Orlando,2023,3,24.58,16.3
Seattle,2023,3,39.46,18.6
Philadelphia,2023,3,31.37,14.3
Twin Cities,2023,3,26.93,15.9
Portland,2023,3,29.36,16.7
San Francisco,2023,3,66.07,19.1
Atlanta,2023,3,30.62,19.8
Nashville,2023,3,31.73,17.4
Phoenix,2023,3,27.51,18.2
Charlotte,2023,3,32.85,11.4
Chicago,2023,3,28.0,19.1
Denver,2023,3,30.61,19.4
New Jersey,2023,3,33.13,17.0
Houston,2023,3,30.66,23.4
Bay Area,2023,3,57.41,17.3
Los Angeles,2023,3,42.39,14.7
Manhattan,2023,3,74.22,16.5
Tampa,2023,3,27.78,16.3
Miami,2023,3,47.27,11.9
Boston,2023,3,38.77,9.9
Dallas,2023,3,28.39,16.6
Washington DC,2023,3,40.44,14.8
Austin,2023,3,40.95,22.2
Brooklyn,2023,3,42.45,19.4
National,2022,6,37.58,15.2
Charlotte,2022,6,33.45,14.5
Boston,2022,6,39.31,9.6
Miami,2022,6,47.23,12.9
San Diego,2022,6,41.6,12.8
Atlanta,2022,6,29.47,20.3
Orlando,2022,6,23.43,14.4
Seattle,2022,6,37.41,15.9
Bay Area,2022,6,56.78,15.5
New Jersey,2022,6,32.69,17.2
San Francisco,2022,6,63.63,17.4
Los Angeles,2022,6,42.01,13.1
Dallas,2022,6,29.24,17.9
Brooklyn,2022,6,48.4,16.8
Phoenix,2022,6,26.96,13.9
Houston,2022,6,30.52,23.8
Philadelphia,2022,6,29.09,13.1
Denver,2022,6,30.14,17.3
Portland,2022,6,29.99,14.0
Austin,2022,6,42.39,16.1
Chicago,2022,6,27.3,19.5
Nashville,2022,6,30.27,18.4
Twin Cities,2022,6,25.83,14.0
Tampa,2022,6,27.95,13.8
Washington DC,2022,6,39.89,14.5
Manhattan,2022,6,72.59,13.9
National,2021,2,38.31,15.0
Nashville,2021,2,31.06,17.1
Washington DC,2021,2,41.87,15.7
Bay Area,2021,2,54.33,16.2
New Jersey,2021,2,32.86,17.9
Miami,2021,2,42.6,15.8
Los Angeles,2021,2,40.22,13.8
Charlotte,2021,2,29.06,12.9
Atlanta,2021,2,27.54,18.8
San Diego,2021,2,39.44,13.9
Phoenix,2021,2,27.46,18.3
Manhattan,2021,2,85.17,10.5
Tampa,2021,2,28.38,14.2
Orlando,2021,2,21.47,15.4
Philadelphia,2021,2,29.2,12.7
Houston,2021,2,29.47,23.5
Austin,2021,2,42.43,15.1
Denver,2021,2,28.77,14.7
Portland,2021,2,29.71,13.9
Dallas,2021,2,28.06,19.0
Twin Cities,2021,2,26.5,16.5
Chicago,2021,2,28.04,16.6
Seattle,2021,2,35.34,13.0
Brooklyn,2021,2,50.48,14.8
Boston,2021,2,34.64,11.4
San Francisco,2021,2,64.3,12.8
National,2020,6,38.29,14.7
Tampa,2020,6,29.52,12.9
Nashville,2020,6,32.1,13.7
Miami,2020,6,42.92,14.5
Atlanta,2020,6,27.76,18.1
Manhattan,2020,6,86.63,9.1
Bay Area,2020,6,50.91,16.0
New Jersey,2020,6,33.02,23.9
San Diego,2020,6,39.4,17.0
Los Angeles,2020,6,39.68,12.5
Houston,2020,6,30.72,23.3
Denver,2020,6,29.47,13.6
Austin,2020,6,42.01,9.3
Charlotte,2020,6,28.99,11.1
San Francisco,2020,6,67.16,9.5
Portland,2020,6,30.31,13.7
Philadelphia,2020,6,28.72,13.6
Twin Cities,2020,6,26.95,14.9
Seattle,2020,6,37.77,9.0
Washington DC,2020,6,40.39,17.1
Chicago,2020,6,28.81,15.4
Phoenix,2020,6,26.71,21.9
Dallas,2020,6,27.69,19.5
Orlando,2020,6,21.44,14.0
Boston,2020,6,33.94,11.0
Brooklyn,2020,6,51.28,18.7
National,2021,3,38.67,15.6
Bay Area,2021,3,57.11,19.3
Washington DC,2021,3,42.21,15.8
New Jersey,2021,3,33.04,18.6
Los Angeles,2021,3,40.43,13.8
Atlanta,2021,3,27.68,19.6
San Diego,2021,3,40.58,14.0
Nashville,2021,3,31.34,19.0
Miami,2021,3,42.22,15.6
Phoenix,2021,3,27.72,18.5
Denver,2021,3,28.72,16.0
Austin,2021,3,42.4,16.0
Philadelphia,2021,3,29.36,13.4
Orlando,2021,3,21.32,14.9
Manhattan,2021,3,85.82,10.7
Tampa,2021,3,28.35,15.1
Portland,2021,3,30.17,15.0
Dallas,2021,3,28.35,19.1
Charlotte,2021,3,28.94,14.2
Brooklyn,2021,3,50.61,15.8
San Francisco,2021,3,69.66,13.5
Boston,2021,3,33.51,12.0
Houston,2021,3,29.59,24.0
Seattle,2021,3,35.52,13.9
Twin Cities,2021,3,26.53,16.0
Chicago,2021,3,27.59,17.4
National,2024,6,31.67,18.1
Boston,2024,6,47.6,12.8
Dallas,2024,6,28.99,21.8
Miami,2024,6,49.79,12.0
Atlanta,2024,6,32.02,18.4
Tampa,2024,6,29.23,13.3
Detroit,2024,6,22.0,19.2
Philadelphia,2024,6,31.56,15.3
Chicago,2024,6,27.81,19.1
Manhattan,2024,6,71.34,16.6
New Jersey,2024,6,34.8,17.0
Austin,2024,6,42.52,22.9
Denver,2024,6,30.62,22.1
Orlando,2024,6,24.47,15.6
Phoenix,2024,6,27.68,18.3
Bay Area,2024,6,53.28,20.8
Nashville,2024,6,30.01,16.0
Charlotte,2024,6,30.39,14.9
Washington DC,2024,6,39.78,16.2
Houston,2024,6,29.68,23.8
Los Angeles,2024,6,41.06,17.0
Portland,2024,6,27.56,17.1
Seattle,2024,6,36.65,23.2
San Francisco,2024,6,60.99,25.4
Twin Cities,2024,6,24.93,16.1
San Diego,2024,6,42.05,18.0
National,2019,3,36.09,13.7
San Francisco,2019,3,66.04,9.0
Brooklyn,2019,3,55.13,8.3
Bay Area,2019,3,46.07,15.0
Houston,2019,3,29.21,21.3
Charlotte,2019,3,27.74,10.5
Philadelphia,2019,3,29.45,12.3
Austin,2019,3,37.99,9.3
Washington DC,2019,3,39.23,14.7
Los Angeles,2019,3,38.23,13.3
Nashville,2019,3,28.64,10.9
Phoenix,2019,3,26.76,16.8
Atlanta,2019,3,25.97,16.3
Boston,2019,3,37.66,9.9
Miami,2019,3,37.92,13.3
Dallas,2019,3,27.45,18.9
Twin Cities,2019,3,26.09,12.6
Chicago,2019,3,29.72,15.2
Manhattan,2019,3,74.6,8.4
San Diego,2019,3,37.15,12.1
Denver,2019,3,27.97,13.8
Portland,2019,3,27.57,12.6
Tampa,2019,3,25.06,10.8
Orlando,2019,3,21.16,13.3
Seattle,2019,3,37.01,8.8
New Jersey,2019,3,30.89,20.3
National,2020,11,38.0,13.8
Bay Area,2020,11,54.76,13.8
San Diego,2020,11,40.27,13.8
Austin,2020,11,42.42,11.3
New Jersey,2020,11,32.76,16.8
Washington DC,2020,11,41.27,14.8
Orlando,2020,11,21.44,14.4
Miami,2020,11,42.46,13.7
Nashville,2020,11,31.69,15.0
Houston,2020,11,29.8,22.0
Charlotte,2020,11,28.76,9.7
Los Angeles,2020,11,38.93,13.0
Philadelphia,2020,11,29.29,12.7
Phoenix,2020,11,27.31,17.2
Manhattan,2020,11,85.65,9.9
Atlanta,2020,11,26.97,17.7
Denver,2020,11,28.61,14.1
Portland,2020,11,28.88,12.4
Chicago,2020,11,28.15,15.3
Twin Cities,2020,11,26.9,11.3
Seattle,2020,11,35.99,10.2
Dallas,2020,11,27.7,18.3
Brooklyn,2020,11,51.01,13.3
Boston,2020,11,33.75,10.6
Tampa,2020,11,27.89,11.5
San Francisco,2020,11,64.8,10.7
National,2022,2,38.62,15.7
Los Angeles,2022,2,41.62,13.3
Bay Area,2022,2,55.79,14.8
Tampa,2022,2,29.7,16.2
Miami,2022,2,43.43,13.1
Denver,2022,2,30.25,16.5
Austin,2022,2,43.7,15.4
Boston,2022,2,34.81,10.5
Philadelphia,2022,2,29.6,14.2
Washington DC,2022,2,42.01,16.6
Orlando,2022,2,22.13,16.7
Nashville,2022,2,30.9,18.9
Phoenix,2022,2,28.01,15.5
New Jersey,2022,2,33.14,17.4
San Diego,2022,2,38.9,14.0
Dallas,2022,2,28.66,17.1
Portland,2022,2,29.97,14.3
Atlanta,2022,2,27.64,22.3
Charlotte,2022,2,29.0,15.3
Chicago,2022,2,28.12,20.3
Houston,2022,2,30.18,24.8
Twin Cities,2022,2,26.8,14.5
San Francisco,2022,2,69.18,16.8
Manhattan,2022,2,83.52,13.1
Seattle,2022,2,35.79,14.9
Brooklyn,2022,2,48.08,17.8
National,2023,2,38.28,16.5
Orlando,2023,2,24.62,16.3
San Diego,2023,2,44.97,13.2
Seattle,2023,2,38.63,18.2
Charlotte,2023,2,34.49,12.7
Philadelphia,2023,2,31.24,14.3
San Francisco,2023,2,67.25,19.2
Atlanta,2023,2,30.6,20.5
New Jersey,2023,2,33.63,17.0
Nashville,2023,2,31.59,17.5
Chicago,2023,2,28.23,19.2
Manhattan,2023,2,76.04,16.0
Miami,2023,2,46.89,12.8
Tampa,2023,2,28.41,16.4
Phoenix,2023,2,27.38,17.1
Bay Area,2023,2,57.1,17.6
Houston,2023,2,30.48,22.5
Los Angeles,2023,2,42.7,14.6
Dallas,2023,2,28.95,16.8
Denver,2023,2,30.06,17.6
Twin Cities,2023,2,26.05,15.5
Washington DC,2023,2,40.52,13.8
Austin,2023,2,41.0,20.4
Portland,2023,2,27.99,14.6
Boston,2023,2,35.77,9.8
Brooklyn,2023,2,44.22,18.6
National,2021,5,38.36,15.6
Los Angeles,2021,5,41.04,13.6
Bay Area,2021,5,55.4,18.9
Boston,2021,5,35.13,11.9
New Jersey,2021,5,33.32,18.9
Philadelphia,2021,5,29.88,13.7
Miami,2021,5,43.15,14.8
Atlanta,2021,5,27.69,19.6
Denver,2021,5,29.85,16.4
Nashville,2021,5,31.46,19.4
Washington DC,2021,5,41.65,15.8
Austin,2021,5,43.48,16.7
Tampa,2021,5,29.03,15.3
San Diego,2021,5,39.29,14.2
Phoenix,2021,5,27.8,17.9
Orlando,2021,5,21.63,15.6
Chicago,2021,5,28.24,16.8
Dallas,2021,5,28.48,18.7
Charlotte,2021,5,29.08,12.9
Twin Cities,2021,5,26.85,15.8
Seattle,2021,5,35.28,15.8
Houston,2021,5,29.58,23.6
Portland,2021,5,29.48,16.0
Manhattan,2021,5,82.5,10.4
San Francisco,2021,5,67.73,13.9
Brooklyn,2021,5,47.88,15.2
National,2020,3,37.99,12.8
Manhattan,2020,3,85.84,7.4
Miami,2020,3,41.48,12.0
Bay Area,2020,3,50.38,12.8
Tampa,2020,3,29.09,10.6
San Diego,2020,3,39.07,11.6
San Francisco,2020,3,71.64,6.9
Atlanta,2020,3,27.09,15.7
Portland,2020,3,29.92,11.9
Twin Cities,2020,3,27.0,11.3
