Month,Year,Headline,Blurb,PDF_Link,Sentiment
September,2023,Large Corporations Announce In-Person Work Mandates,"<b>Large Corporations Announce In-Person Work Mandates</b>
<p>Remote and hybrid work have become entrenched, but many large firms—and the federal government—have been moving forward with return-to-office mandates. Read about this trend and get the latest data in this month’s Yardi Matrix Office Report.</p>",,7.0
August,2023,"Lab Space Grows, but Pace Slows","<b>Lab Space Grows, but Pace Slows</b>
<p>While venture capital investment has dropped in the past 12 months, life science properties continue to trade at a premium, and the sector maintains a positive long-term outlook. Read about this and get the latest data in this month’s Yardi Matrix Office Monthly.</p>",,6.0
July,2023,Medical office maintains stability,"<b>Medical office maintains stability</b>
<p>While much of the office sector has been upended by remote work, medical office has been a steady performer in recent years and is poised to grow in the future. Read about this trend and get the latest data in this month’s Yardi Matrix Office Report.</p>",,7.0
June,2023,Tech Markets See Highest Share of Remote Work,"<b>Tech Markets See Highest Share of Remote Work</b><p>While remote and hybrid work has flourished everywhere over the last few years, some markets are experiencing a much higher concentration than others, leaving them more vulnerable to the challenges of the current office market. Read about this trend and get the latest data in this month’s Matrix Office Monthly!</p>",,4.0
May,2023,Coworking Demand Continues to Rise,"<b>Coworking Demand Continues to Rise</b>
<p>Driven by the widespread adoption of hybrid work strategies and the desire for more flexible lease terms, demand for flexible office space has continued to grow.</p>",,8.0
April,2023,Office Conversions Move Forward,"<b>Office Conversions Move Forward</b>
<p>With office vacancy rates rising nationally, conversions are becoming an attractive opportunity. However, limitations do exist.</p>",,6.0
March,2023,Maturing Loans Face Headwinds,"<b>Maturing Loans Face Headwinds</b>
<p>Falling demand and rising interest rates will pose a challenge for office owners with loans maturing soon. Find out which markets have the highest concentration of loans maturing in the next few years and get the latest data in this month’s Yardi Matrix Office Monthly.</p>",,3.0
February,2023,Office Sector to See More Distress in 2023,"<b>Office Sector to See More Distress in 2023</b>
<p>Anticipated since the start of the pandemic, distressed office activity looks likely to pick up momentum in 2023. Read about this trend and get the latest data in this month’s Yardi Matrix office monthly.</p>",,2.0
January,2023,Office Continues to Transform in 2023,"<b>Office Continues to Transform in 2023</b>
<p>Nearly three years after COVID-19 forever changed the office market, the sector is still adapting. Read about what we expect for 2023 and get the latest data in this month’s Yardi Matrix Office Monthly</p>",,5.0
January,2022,Tech Slowdown to Hinder Office Recovery,"<b>Tech Slowdown to Hinder Office Recovery</b>
<p>After years of rapidly expanding payrolls, tech firms are now laying off workers and downsizing office footprints. Read about what this means for the office sector and get the latest data in this month’s Yardi Matrix Office Monthly!</p>",,2.0
November,2022,Interest Rate Hikes Pose Another Challenge for Office Sector,"<b>Interest Rate Hikes Pose Another Challenge for Office Sector</b>
<p>Already faced with numerous headwinds as a consequence of the COVID-19 pandemic, the office sector is further stymied by growing interest rates. Read about this trend and get the latest data in this month’s Yardi Matrix Office Report.</p>",,2.0
October,2022,Coworking Demand Driving Operator Expansion,"<b>Coworking Demand Driving Operator Expansion</b>
<p>Demand for flexible office space is increasing rapidly, leading to an expansion of operators offering space. Established players are opening new locations, brokerages are increasing investments in the subsector and owners and landlords are exploring converting vacant space into coworking. Read about this trend and get the latest data in this month’s Yardi Matrix Office monthly.</p>",,8.0
September,2022,Life Science Growth Continues in 2022,"<b>Life Science Growth Continues in 2022</b>
<p>Demand for life science space has kept the sector’s performance strong this year, with lab space trading at high prices and developers rushing to add more in markets where life science firms cluster. Even the tertiary cluster markets are growing. Read about this trend and get the latest data in this month’s Yardi Matrix Office Monthly. </p>",,8.0
August,2022,Coworking Rebounds Following Pandemic,"<b>Coworking Rebounds Following Pandemic</b>
<p>When COVID-19 swept the U.S., some predicted it would lead to the end of coworking. Today, however, shared space has reemerged as a viable alternative to the traditional office lease, helping fill the gaps left by remote and hybrid work.</p>",,7.0
July,2022,"Office Conversions to Housing a Slow, Niche Trend","<b>Office Conversions to Housing a Slow, Niche Trend</b>
<p>Despite seeming like an obvious solution to both falling office demand and housing shortages, conversions of office buildings to multifamily and condos remain rare. Most conversions are concentrated on the Eastern seaboard and are delivering only luxury units. Read about this trend and get the latest data in this month’s Yardi Matrix Office Report.</p>",,5.0
June,2022,Challenges Abound for Office Sector,"<b>Challenges Abound for Office Sector</b>
<p>Many major firms are deploying return-to-office strategies this year. Employee pushback, inflation and rising rates are just a few of the headwinds that the industry faces in a post-pandemic world. Read about this trend and get the latest data in this month’s Yardi Matrix Office Monthly.</p>",,2.0
May,2022,Mixed-Use Properties Proliferate in Post-Pandemic Market,"<b>Mixed-Use Properties Proliferate in Post-Pandemic Market</b>
<p>The pandemic upended many aspects of office real estate, but mixed-use developments continue to be attractive. Read about this and get the latest data in this month’s Yardi Matrix Office Monthly.</p>",,7.0
April,2022,Office Pipeline Flows Amid Changes,"<b>Office Pipeline Flows Amid Changes</b>
<p>While the pandemic has slowed development, markets with strong domestic migration or life sciences clusters continue to attract new projects. Read about this trend and get the latest data in this month’s Yardi Matrix Office Monthly.</p>",,5.0
March,2022,Pandemic Recovery Drives Office Flight to Quality,"<b>Pandemic Recovery Drives Office Flight to Quality</b>
<p>As the pandemic wanes, many companies are looking for ways to entice workers back into the office, driving demand for high-quality space. This so-called “flight to quality” is already playing out in some major markets. Read about this trend and get the latest data in this month’s Yardi Matrix Office Report.</p>",,6.0
February,2022,Medical Office Buildings Remain Resilient,"<b>Medical Office Buildings Remain Resilient</b>
<p>While many subsectors of commercial office have faltered in the last two years, medical office buildings have been a bright spot, attracting increased interest from institutional investors.</p>",,8.0
January,2022,Omicron Causes Further Delay in Return-to-Office,"<b>Omicron Causes Further Delay in Return-to-Office</b>
<p>For the second time, a wave of coronavirus cases driven by a new variant has delayed many companies’ return-to-office plans. Read about what this means for commercial offices and get the latest data in this month’s Matrix Office Report.</p>",,3.0
December,2021,Flex Space to Play Vital Role in the Future of Office,<b>Flex Space to Play Vital Role in the Future of Office</b><p>The continued uncertainty around the future of remote work is leading occupiers to want more agility from their office space. Read about the direction coworking is taking and get the latest office data in the Yardi Matrix Office Monthly.</p>,,7.0
October,2021,Tech Giants Commit to Office,"<b>Tech Giants Commit to Office</b>
<p>While the future of the office sector is still uncertain, recent purchases, lease signings and new construction suggest that large tech firms are still committed to physical office space.</p>",,8.0
September,2021,Life sciences demand swells,"<b>Life sciences demand swells</b>
<p>While the office sector as a whole has struggled for the last 18 months, demand for life sciences facilities has intensified during the pandemic. Read about this trend and get the latest data in this month’s report.</p>",,9.0
August,2021,Delta Variant Pushes Back Return-to-Office,"<b>Delta Variant Pushes Back Return-to-Office</b><p>The spike in COVID-19 cases and hospitalizations driven by the Delta variant has forced many firms to delay post-Labor Day plans to return to the office. Nonetheless, listing rates have not dropped, and sales continue to occur. Read about these developments and get the latest data in this month’s report.</p>",,3.0
July,2021,Office conversions spark transactions despite challenges,<b>Office conversions spark transactions despite challenges</b><p>Investors are pursuing underperforming office assets for life science or multifamily use. But conversions are not a fit for every asset. Read about this trend and get the latest data in this month’s office report.</p>,,6.0
June,2021,Investors looking for niche and high-quality office product,"<b>Investors looking for niche and high-quality office product</b>
<p>While many buyers and sellers in the office sector are in a holding pattern, there is capital available for certain assets. Sales this year have skewed toward high-quality assets, medical office and buildings with the potential to be converted into lab space.</p>",,7.0
May,2021,Sublease space continues to burden office market,"<b>Sublease space continues to burden office market</b>
<p>Sublease space has climbed since the start of the pandemic, as many firms look to reduce their office footprint. Among the top 30 markets covered by Yardi Matrix, 20 saw total available sublease space more than double.</p>",,3.0
April,2021,Tech Giants Plan Return to Office,"<b>Tech Giants Plan Return to Office</b>
<p>With nearly a quarter of the population fully vaccinated against COVID-19, companies are beginning to plan their return to the office later this year. The reported plans of large tech companies offer a glimpse into how a return may unfold.</p>",,8.0
March,2021,Office vacancy rates increase in most markets,"<b>Office vacancy rates increase in most markets</b>
<p>As the one-year anniversary of early coronavirus lockdowns nears, office vacancy rates continue to climb in most U.S. markets. New supply in progress has continued to be delivered but is forecast to decline in coming years. Read about the latest trends and data in this month’s Yardi Matrix National Office Report.</p>",,2.0
March,2021,Office vacancy rates increase in most markets,"<b>Office vacancy rates increase in most markets</b>
<p>As the one-year anniversary of early coronavirus lockdowns nears, office vacancy rates continue to climb in most U.S. markets. New supply in progress has continued to be delivered but is forecast to decline in coming years. Read about the latest trends and data in this month’s Yardi Matrix National Office Report.</p>",,2.0
March,2021,Office vacancy rates increase in most markets,"<b>Office vacancy rates increase in most markets</b>
<p>As the one-year anniversary of early coronavirus lockdowns nears, office vacancy rates continue to climb in most U.S. markets. New supply in progress has continued to be delivered but is forecast to decline in coming years. Read about the latest trends and data in this month’s CommercialEdge National Office Report.</p>",,2.0
March,2021,Office vacancy rates increase in most markets,"<b>Office vacancy rates increase in most markets</b>
<p>As the one-year anniversary of early coronavirus lockdowns nears, office vacancy rates continue to climb in most U.S. markets. New supply in progress has continued to be delivered but is forecast to decline in coming years. Read about the latest trends and data in this month’s CommercialEdge National Office Report.</p>",,2.0
February,2021,Coworking’s role in the post-pandemic office market,"<b>Coworking’s role in the post-pandemic office market</b>
<p>A picture of how coworking may look in the post-pandemic world is beginning to emerge. Meanwhile, vacancy rates for traditional office space have spiked in the past year, though not all markets are seeing equal bumps.</p>",,N/A
January,2021,Uncertain future following turbulent 2020,"<b>Uncertain future following turbulent 2020</b>
<p>Last year was a tough one for the office sector, due to the COVID-19 pandemic. Things may turn around in 2021, but the path forward is murky. Read about trends impacting the office sector and get the latest supply and listing rate data in this month’s CommercialEdge National Office Report.</p>",,4.0
December,2020,"As 2020 concludes, office market stares down uncertainty","<strong>As 2020 concludes, office market stares down uncertainty</strong><p>With vaccines for COVID-19 rolling out this month, the long-term prospects of the office industry are relatively optimistic. However, the outlook for the next few years is uncertain. Read about this and other trends and get the latest data for the commercial industry in this month’s CommercialEdge report.</p>",,3.0
November,2020,"Available sublease space has increased significantly this year, more than doubling in some markets. Read about how this impacts listing rates, new supply and more in the latest CommercialEdge report.","Available sublease space has increased significantly this year, more than doubling in some markets. Read about how this impacts listing rates, new supply and more in the latest CommercialEdge report.",,2.0
October,2020,Fallout of Pandemic Trickles Into Commercial Office Data,Fallout of Pandemic Trickles Into Commercial Office Data,,3.0
September,2020,COVID-19 Reshaping Commercial Real Estate,COVID-19 Reshaping Commercial Real Estate,,5.0
August,2020,Matrix Office National Report-August 2020,Matrix Office National Report-August 2020,,N/A
July,2020,Matrix Office National Report-July 2020,Matrix Office National Report-July 2020,,N/A
June,2020,Matrix Office National Report-June 2020,Matrix Office National Report-June 2020,,N/A
May,2020,Matrix Office National Report-May 2020,Matrix Office National Report-May 2020,,N/A
April,2020,Matrix Office National Report-April 2020,Matrix Office National Report-April 2020,,N/A
March,2020,Matrix Office National Report-March 2020,Matrix Office National Report-March 2020,,N/A
February,2020,Matrix Office National Report-February 2020,Matrix Office National Report-February 2020,,N/A
January,2020,"Our monthly national report on the office property market featuring Matrix's U.S. office data - including leasing, development trends, transactions and more.","Our monthly national report on the office property market featuring Matrix's U.S. office data - including leasing, development trends, transactions and more.",,N/A
January,2019,Matrix Office National Report-December 2019,Matrix Office National Report-December 2019,,N/A
November,2019,"Yardi Matrix National Office Report - November, 2019","Yardi Matrix National Office Report - November, 2019",,N/A
October,2019,"Yardi Matrix National Office Report - October, 2019","Yardi Matrix National Office Report - October, 2019",,N/A
September,2019,"Yardi Matrix National Office Report - September, 2019","Yardi Matrix National Office Report - September, 2019",,N/A
August,2019,"Yardi Matrix National Office Report - August, 2019","Yardi Matrix National Office Report - August, 2019",,N/A
July,2019,"Yardi Matrix National Office Report - July, 2019","Yardi Matrix National Office Report - July, 2019",,N/A
June,2019,"Yardi Matrix National Office Report - June, 2019","Yardi Matrix National Office Report - June, 2019",,N/A
May,2019,"Yardi Matrix National Office Report - May, 2019","Yardi Matrix National Office Report - May, 2019",,N/A
April,2019,"Yardi Matrix National Office Report - April, 2019","Yardi Matrix National Office Report - April, 2019",,N/A
March,2019,"Yardi Matrix National Office Report - March, 2019","Yardi Matrix National Office Report - March, 2019",,N/A
February,2019,"Yardi Matrix National Office Report - February, 2019","Yardi Matrix National Office Report - February, 2019",,N/A
January,2019,"Yardi Matrix National Office Report - January, 2019","Yardi Matrix National Office Report - January, 2019",,N/A
October,2019,2019 US Office Market Update,2019 US Office Market Update,,N/A
April,2019,Detroit Office Market Update,Detroit Office Market Update,,N/A
April,2019,Chicago Office Market Update,Chicago Office Market Update,,N/A
October,2018,2018 US Office Market Update Webinar,2018 US Office Market Update Webinar,,N/A
March,2018,2018 Office Market Strategy and Forecast Webinar,2018 Office Market Strategy and Forecast Webinar,,N/A
October,2019,2019-10-30 Office Market Update,2019-10-30 Office Market Update,,N/A
March,2018,Office Market Strategy and Forecast March 2018,Office Market Strategy and Forecast March 2018,,N/A
